                     PRADINIAI DUOMENYS                   
|--------------------------------------------------------|
| Buto nr |  Plotas | KambariuSk | Kaina    |   TelNr    |
|--------------------------------------------------------|
| 1       | 745     | 3          | 100000   | 865597850  |
| 2       | 892     | 4          | 125000   | 861235076  |
| 3       | 646     | 2          | 94000    | 864521872  |
| 4       | 561     | 2          | 86040    | 865423950  |
| 5       | 764     | 3          | 110000   | 864523540  |
| 6       | 725     | 3          | 135000   | 865000850  |
| 7       | 645     | 2          | 960000   | 865597220  |
| 8       | 945     | 4          | 200000   | 863337850  |
| 9       | 525     | 2          | 86000    | 865511150  |
| 10      | 741     | 3          | 100000   | 865577750  |
| 11      | 749     | 3          | 100000   | 867777850  |
| 12      | 743     | 3          | 100000   | 869997850  |
| 13      | 629     | 2          | 93000    | 864888872  |
| 14      | 649     | 2          | 94050    | 864500072  |
| 15      | 699     | 3          | 99000    | 861011872  |
| 16      | 619     | 2          | 93000    | 864521172  |
| 17      | 689     | 3          | 98000    | 864581872  |
| 18      | 585     | 2          | 86000    | 860201150  |
| 19      | 515     | 2          | 83000    | 865500150  |
| 20      | 595     | 2          | 87000    | 865011150  |
| 21      | 852     | 4          | 124000   | 861123476  |
| 22      | 882     | 4          | 124500   | 861233376  |
| 23      | 892     | 4          | 126000   | 861234576  |
| 24      | 689     | 2          | 93000    | 864777772  |
| 25      | 842     | 4          | 125000   | 861234576  |
| 26      | 729     | 3          | 103000   | 864242422  |
| 27      | 401     | 1          | 81000    | 864111172  |
|--------------------------------------------------------|
